dt,age_cd,sex_cd,home_sido_nm,h0d0h0_dur_r,h0d0h1_dur_r,h0d1h0_dur_r,h0d1h1_dur_r,h1d0h0_dur_r,h1d0h1_dur_r,h1d1h0_dur_r,h1d1h1_dur_r
20201012,\N,\N,대전광역시,0.146385275,0.853124613,0.429245684,0.570264204,0.160881819,0.838509311,0.330907313,0.668483817
20201012,\N,\N,대구광역시,0.143788183,0.856056081,0.444106969,0.555737294,0.15532574,0.844467555,0.342983957,0.656810282
20201012,\N,\N,광주광역시,0.159319589,0.840313414,0.454490059,0.545142945,0.170341963,0.829276742,0.351922128,0.647696577
20201012,\N,\N,경상북도,0.161301746,0.838542241,0.430749023,0.569094964,0.178158801,0.821679373,0.361755932,0.638081272
20201012,\N,\N,경상남도,0.161255884,0.838606613,0.445919467,0.55394303,0.173599255,0.82628089,0.356219218,0.643661662
20201012,\N,\N,경기도,0.156827268,0.843170885,0.462059524,0.537938629,0.164875352,0.83512003,0.330303951,0.669691431
20201012,\N,\N,강원도,0.15839498,0.841281263,0.41279482,0.586881423,0.174962261,0.824756623,0.344340872,0.655378012
20201012,\N,\N,\N,0.15468289,0.845140776,0.444965659,0.554858007,0.164567177,0.835254958,0.332323726,0.667498313
20201019,0,\N,\N,0.052965813,0.943465843,0.104636513,0.891797736,0.123164007,0.869281787,0.204173928,0.78827446
20201019,10,\N,\N,0.097107898,0.902791208,0.248421449,0.751477657,0.117811485,0.882043187,0.219931866,0.779921759
20201019,20,\N,\N,0.188373433,0.811518817,0.43124453,0.56864772,0.227829673,0.772122025,0.335938242,0.664013085
20201019,30,\N,\N,0.178431612,0.821520959,0.527636432,0.472316139,0.207102137,0.792872528,0.36744956,0.632525106
20201019,40,\N,\N,0.169798281,0.830181523,0.537500456,0.462479348,0.175044412,0.824938277,0.364049321,0.635933368
20201019,50,\N,\N,0.172660157,0.827315717,0.529835929,0.470139945,0.171495207,0.828483747,0.397495224,0.60248373
20201019,60,\N,\N,0.143109539,0.856856131,0.422033109,0.577932561,0.14650224,0.853460371,0.354904028,0.645058582
20201019,70,\N,\N,0.090365115,0.90952029,0.261511599,0.738373806,0.092965562,0.90685886,0.226973734,0.772850688
20201019,\N,1,\N,0.185898538,0.81397126,0.512250332,0.487619466,0.192199588,0.807606736,0.370706061,0.62910017
20201019,\N,2,\N,0.123926657,0.875967647,0.384339135,0.615555268,0.14701672,0.852800464,0.30727507,0.692542015
20201019,\N,\N,충청북도,0.16041714,0.839365903,0.442551801,0.557231242,0.18203205,0.817655782,0.360363988,0.639323844
20201019,\N,\N,충청남도,0.171521323,0.828359437,0.458791319,0.541089441,0.192475104,0.807262568,0.369249736,0.630487936
20201019,\N,\N,제주특별자치도,0.173089599,0.825511656,0.458458009,0.540143245,0.182940635,0.815643457,0.387222007,0.611362085
20201019,\N,\N,전라북도,0.161197423,0.838576354,0.44561621,0.554159138,0.177594096,0.822054002,0.360215762,0.639432336
20201019,\N,\N,전라남도,0.173282545,0.826486059,0.446204781,0.553562469,0.192592078,0.807177879,0.372399252,0.627367998
